t,theta,omega,energy
0.295,0.499257,-1.83077,2.87328
0.296,0.497424,-1.83546,2.87328
0.297,0.495586,-1.84013,2.87328
0.298,0.493744,-1.84479,2.87328
0.299,0.491896,-1.84943,2.87328
0.3,0.490045,-1.85406,2.87328
0.301,0.488188,-1.85866,2.87328
0.302,0.486327,-1.86326,2.87328
0.303,0.484462,-1.86783,2.87328
0.304,0.482592,-1.8724,2.87328
0.305,0.480717,-1.87694,2.87328
0.306,0.478838,-1.88147,2.87328
0.307,0.476954,-1.88598,2.87328
0.308,0.475066,-1.89048,2.87328
0.309,0.473173,-1.89495,2.87328
0.31,0.471276,-1.89942,2.87328
0.311,0.469374,-1.90386,2.87328
0.312,0.467468,-1.90829,2.87328
0.313,0.465558,-1.9127,2.87328
0.314,0.463643,-1.9171,2.87328
0.315,0.461724,-1.92148,2.87328
0.316,0.4598,-1.92584,2.87328
0.317,0.457872,-1.93018,2.87328
0.318,0.45594,-1.93451,2.87328
0.319,0.454003,-1.93882,2.87328
0.32,0.452062,-1.94312,2.87328
0.321,0.450117,-1.94739,2.87328
0.322,0.448167,-1.95165,2.87328
0.323,0.446213,-1.9559,2.87328
0.324,0.444255,-1.96012,2.87328
0.325,0.442293,-1.96433,2.87328
0.326,0.440327,-1.96852,2.87328
0.327,0.438356,-1.97269,2.87328
0.328,0.436381,-1.97685,2.87328
0.329,0.434402,-1.98098,2.87328
0.33,0.432419,-1.9851,2.87328
0.331,0.430432,-1.9892,2.87328
0.332,0.428441,-1.99329,2.87328
0.333,0.426446,-1.99736,2.87328
0.334,0.424446,-2.0014,2.87328
0.335,0.422443,-2.00544,2.87328
0.336,0.420435,-2.00945,2.87328
0.337,0.418424,-2.01344,2.87328
0.338,0.416409,-2.01742,2.87328
0.339,0.414389,-2.02138,2.87328
0.34,0.412366,-2.02532,2.87328
0.341,0.410338,-2.02924,2.87328
0.342,0.408307,-2.03315,2.87328
0.343,0.406272,-2.03703,2.87328
0.344,0.404233,-2.0409,2.87328
0.345,0.40219,-2.04475,2.87328
0.346,0.400144,-2.04858,2.87328
0.347,0.398093,-2.05239,2.87328
0.348,0.396039,-2.05619,2.87328
0.349,0.393981,-2.05996,2.87328
0.35,0.391919,-2.06372,2.87328
0.351,0.389853,-2.06746,2.87328
0.352,0.387784,-2.07117,2.87328
0.353,0.385711,-2.07487,2.87328
0.354,0.383634,-2.07856,2.87328
0.355,0.381554,-2.08222,2.87328
0.356,0.37947,-2.08586,2.87328
0.357,0.377382,-2.08949,2.87328
0.358,0.375291,-2.09309,2.87328
0.359,0.373196,-2.09668,2.87328
0.36,0.371098,-2.10024,2.87328
0.361,0.368996,-2.10379,2.87328
0.362,0.36689,-2.10732,2.87328
0.363,0.364781,-2.11083,2.87328
0.364,0.362668,-2.11432,2.87328
0.365,0.360552,-2.11779,2.87328
0.366,0.358433,-2.12124,2.87328
0.367,0.35631,-2.12467,2.87328
0.368,0.354183,-2.12809,2.87328
0.369,0.352054,-2.13148,2.87328
0.37,0.349921,-2.13485,2.87328
0.371,0.347784,-2.13821,2.87328
0.372,0.345644,-2.14154,2.87328
0.373,0.343501,-2.14485,2.87328
0.374,0.341354,-2.14815,2.87328
0.375,0.339205,-2.15142,2.87328
0.376,0.337052,-2.15467,2.87328
0.377,0.334895,-2.15791,2.87328
0.378,0.332736,-2.16112,2.87328
0.379,0.330573,-2.16432,2.87328
0.38,0.328407,-2.16749,2.87328
0.381,0.326238,-2.17065,2.87328
0.382,0.324066,-2.17378,2.87328
0.383,0.321891,-2.17689,2.87328
0.384,0.319712,-2.17999,2.87328
0.385,0.317531,-2.18306,2.87328
0.386,0.315346,-2.18611,2.87328
0.387,0.313158,-2.18914,2.87328
0.388,0.310968,-2.19216,2.87328
0.389,0.308774,-2.19515,2.87328
0.39,0.306577,-2.19812,2.87328
0.391,0.304378,-2.20107,2.87328
0.392,0.302175,-2.204,2.87328
0.393,0.29997,-2.20691,2.87328
0.394,0.297761,-2.2098,2.87328
0.395,0.29555,-2.21266,2.87328
0.396,0.293336,-2.21551,2.87328
0.397,0.291119,-2.21834,2.87328
0.398,0.288899,-2.22114,2.87328
0.399,0.286677,-2.22393,2.87328
0.4,0.284452,-2.22669,2.87328
0.401,0.282224,-2.22943,2.87328
0.402,0.279993,-2.23215,2.87328
0.403,0.277759,-2.23485,2.87328
0.404,0.275523,-2.23753,2.87328
0.405,0.273284,-2.24019,2.87328
0.406,0.271043,-2.24283,2.87328
0.407,0.268799,-2.24545,2.87328
0.408,0.266552,-2.24804,2.87328
0.409,0.264302,-2.25061,2.87328
0.41,0.262051,-2.25317,2.87328
0.411,0.259796,-2.2557,2.87328
0.412,0.257539,-2.25821,2.87328
0.413,0.25528,-2.26069,2.87328
0.414,0.253018,-2.26316,2.87328
0.415,0.250753,-2.2656,2.87328
0.416,0.248487,-2.26803,2.87328
0.417,0.246217,-2.27043,2.87328
0.418,0.243946,-2.27281,2.87328
0.419,0.241672,-2.27517,2.87328
0.42,0.239395,-2.27751,2.87328
0.421,0.237117,-2.27982,2.87328
0.422,0.234836,-2.28211,2.87328
0.423,0.232553,-2.28439,2.87328
0.424,0.230267,-2.28664,2.87328
0.425,0.227979,-2.28886,2.87328
0.426,0.225689,-2.29107,2.87328
0.427,0.223397,-2.29325,2.87328
0.428,0.221103,-2.29542,2.87328
0.429,0.218806,-2.29756,2.87328
0.43,0.216508,-2.29968,2.87328
0.431,0.214207,-2.30177,2.87328
0.432,0.211904,-2.30385,2.87328
0.433,0.209599,-2.3059,2.87328
0.434,0.207292,-2.30793,2.87328
0.435,0.204983,-2.30994,2.87328
0.436,0.202673,-2.31192,2.87328
0.437,0.20036,-2.31389,2.87328
0.438,0.198045,-2.31583,2.87328
0.439,0.195728,-2.31775,2.87328
0.44,0.193409,-2.31964,2.87328
0.441,0.191089,-2.32152,2.87328
0.442,0.188766,-2.32337,2.87328
0.443,0.186442,-2.3252,2.87328
0.444,0.184116,-2.32701,2.87328
0.445,0.181788,-2.32879,2.87328
0.446,0.179458,-2.33055,2.87328
0.447,0.177127,-2.33229,2.87328
0.448,0.174794,-2.33401,2.87328
0.449,0.172459,-2.33571,2.87328
0.45,0.170122,-2.33738,2.87328
0.451,0.167784,-2.33903,2.87328
0.452,0.165444,-2.34065,2.87328
0.453,0.163103,-2.34226,2.87328
0.454,0.16076,-2.34384,2.87328
0.455,0.158415,-2.3454,2.87328
0.456,0.156069,-2.34693,2.87328
0.457,0.153721,-2.34845,2.87328
0.458,0.151372,-2.34994,2.87328
0.459,0.149021,-2.35141,2.87328
0.46,0.146669,-2.35285,2.87328
0.461,0.144316,-2.35427,2.87328
0.462,0.141961,-2.35567,2.87328
0.463,0.139604,-2.35705,2.87328
0.464,0.137247,-2.3584,2.87328
0.465,0.134888,-2.35973,2.87328
0.466,0.132527,-2.36104,2.87328
0.467,0.130165,-2.36233,2.87328
0.468,0.127803,-2.36359,2.87328
0.469,0.125438,-2.36483,2.87328
0.47,0.123073,-2.36604,2.87328
0.471,0.120706,-2.36724,2.87328
0.472,0.118338,-2.36841,2.87328
0.473,0.115969,-2.36955,2.87328
0.474,0.113599,-2.37068,2.87328
0.475,0.111228,-2.37178,2.87328
0.476,0.108856,-2.37285,2.87328
0.477,0.106482,-2.37391,2.87328
0.478,0.104108,-2.37494,2.87328
0.479,0.101733,-2.37595,2.87328
0.48,0.0993561,-2.37693,2.87328
0.481,0.0969787,-2.37789,2.87328
0.482,0.0946003,-2.37883,2.87328
0.483,0.092221,-2.37975,2.87328
0.484,0.0898408,-2.38064,2.87328
0.485,0.0874597,-2.38151,2.87328
0.486,0.0850778,-2.38235,2.87328
0.487,0.082695,-2.38317,2.87328
0.488,0.0803115,-2.38397,2.87328
0.489,0.0779271,-2.38475,2.87328
0.49,0.075542,-2.3855,2.87328
0.491,0.0731561,-2.38623,2.87328
0.492,0.0707695,-2.38693,2.87328
0.493,0.0683822,-2.38762,2.87328
0.494,0.0659943,-2.38827,2.87328
0.495,0.0636057,-2.38891,2.87328
0.496,0.0612165,-2.38952,2.87328
0.497,0.0588267,-2.39011,2.87328
0.498,0.0564363,-2.39068,2.87328
0.499,0.0540453,-2.39122,2.87328
0.5,0.0516538,-2.39174,2.87328
0.501,0.0492619,-2.39223,2.87328
0.502,0.0468694,-2.3927,2.87328
0.503,0.0444765,-2.39315,2.87328
0.504,0.0420831,-2.39357,2.87328
0.505,0.0396893,-2.39397,2.87328
0.506,0.0372952,-2.39435,2.87328
0.507,0.0349006,-2.39471,2.87328
0.508,0.0325058,-2.39504,2.87328
0.509,0.0301106,-2.39534,2.87328
0.51,0.0277151,-2.39563,2.87328
0.511,0.0253193,-2.39589,2.87328
0.512,0.0229233,-2.39612,2.87328
0.513,0.0205271,-2.39634,2.87328
0.514,0.0181306,-2.39653,2.87328
0.515,0.015734,-2.39669,2.87328
0.516,0.0133373,-2.39684,2.87328
0.517,0.0109404,-2.39695,2.87328
0.518,0.00854336,-2.39705,2.87328
0.519,0.00614628,-2.39712,2.87328
0.52,0.00374913,-2.39717,2.87328
0.521,0.00135194,-2.3972,2.87328
0.522,-0.00104525,-2.3972,2.87328
0.523,-0.00344244,-2.39718,2.87328
0.524,-0.0058396,-2.39713,2.87328
0.525,-0.00823669,-2.39706,2.87328
0.526,-0.0106337,-2.39697,2.87328
0.527,-0.0130306,-2.39685,2.87328
0.528,-0.0154274,-2.39671,2.87328
0.529,-0.017824,-2.39655,2.87328
0.53,-0.0202205,-2.39636,2.87328
0.531,-0.0226168,-2.39615,2.87328
0.532,-0.0250128,-2.39592,2.87328
0.533,-0.0274086,-2.39566,2.87328
0.534,-0.0298041,-2.39538,2.87328
0.535,-0.0321993,-2.39508,2.87328
0.536,-0.0345943,-2.39475,2.87328
0.537,-0.0369888,-2.3944,2.87328
0.538,-0.039383,-2.39402,2.87328
0.539,-0.0417769,-2.39363,2.87328
0.54,-0.0441703,-2.3932,2.87328
0.541,-0.0465633,-2.39276,2.87328
0.542,-0.0489558,-2.39229,2.87328
0.543,-0.0513479,-2.3918,2.87328
0.544,-0.0537394,-2.39128,2.87328
0.545,-0.0561304,-2.39075,2.87328
0.546,-0.0585209,-2.39018,2.87328
0.547,-0.0609108,-2.3896,2.87328
0.548,-0.0633001,-2.38899,2.87328
0.549,-0.0656887,-2.38836,2.87328
0.55,-0.0680768,-2.3877,2.87328
0.551,-0.0704641,-2.38702,2.87328
0.552,-0.0728508,-2.38632,2.87328
0.553,-0.0752368,-2.38559,2.87328
0.554,-0.077622,-2.38485,2.87328
0.555,-0.0800065,-2.38407,2.87328
0.556,-0.0823901,-2.38328,2.87328
0.557,-0.084773,-2.38246,2.87328
0.558,-0.087155,-2.38162,2.87328
0.559,-0.0895362,-2.38075,2.87328
0.56,-0.0919165,-2.37986,2.87328
0.561,-0.0942959,-2.37895,2.87328
0.562,-0.0966744,-2.37801,2.87328
0.563,-0.099052,-2.37706,2.87328
0.564,-0.101429,-2.37607,2.87328
0.565,-0.103804,-2.37507,2.87328
0.566,-0.106179,-2.37404,2.87328
0.567,-0.108552,-2.37299,2.87328
0.568,-0.110925,-2.37192,2.87328
0.569,-0.113296,-2.37082,2.87328
0.57,-0.115666,-2.3697,2.87328
0.571,-0.118035,-2.36855,2.87328
0.572,-0.120403,-2.36739,2.87328
0.573,-0.12277,-2.3662,2.87328
0.574,-0.125136,-2.36498,2.87328
0.575,-0.1275,-2.36375,2.87328
0.576,-0.129863,-2.36249,2.87328
0.577,-0.132225,-2.36121,2.87328
0.578,-0.134586,-2.3599,2.87328
0.579,-0.136945,-2.35858,2.87328
0.58,-0.139303,-2.35722,2.87328
0.581,-0.141659,-2.35585,2.87328
0.582,-0.144014,-2.35445,2.87328
0.583,-0.146368,-2.35304,2.87328
0.584,-0.148721,-2.35159,2.87328
0.585,-0.151071,-2.35013,2.87328
